Source,Target,weight
Setrasari,KiaraCondong,1.0
Setrasari,RayaKopo,1.0
Setrasari,SuryaSumantri,1.0
Sidomukti,Cipaganti,1.0
StasiunKABandung,Burangrang,1.0
StasiunKABandung,Cibaduyut,1.0
StasiunKABandung,Cicaheum,1.0
StasiunKABandung,CihampelasAtas,1.0
StasiunKABandung,Cimindi,1.0
StasiunKABandung,Cipaganti,1.0
StasiunKABandung,DagoTengah,1.0
StasiunKABandung,GerlongHilir,1.0
StasiunKABandung,ITB,2.0
StasiunKABandung,JendralSudirman,1.0
StasiunKABandung,LebakSiliwangi,1.0
StasiunKABandung,LuarBdg,1.0
StasiunKABandung,Martadinata,1.0
StasiunKABandung,PajajaranWayang,1.0
StasiunKABandung,RayaKopo,1.0
StasiunKABandung,StasiunKABandung,5.0
StasiunKABandung,Suci,1.0
StasiunKABandung,Surapati,2.0
StasiunKABandung,TerusanJakarta,1.0
StasiunKABandung,TolPasteur,1.0
StasiunKAKircon,Panyileukan,1.0
Suci,Ciumbeuleuit,1.0
Sukajadi,AHNasution,1.0
Sukajadi,BandaraHusein,1.0
Sukajadi,DagoAtas,1.0
Sukajadi,LebakSiliwangi,1.0
Sukajadi,Lembong,1.0
Sukajadi,Pagarsih,1.0
Sukajadi,PVJ,1.0
Sukajadi,Surapati,1.0
Sukajadi,Tamansari,1.0
Sukamiskin,TerusanJakarta,1.0
Sumatra,StasiunKABandung,1.0
Supratman,StasiunKABandung,1.0
Supratman,Supratman,1.0
Surapati,DagoBawah,1.0
Surapati,Martadinata,1.0
SuryaSumantri,Setrasari,1.0
Tamansari,Cipaganti,1.0
Tamansari,KebonJati,1.0
Tamansari,Kosambi,1.0
TerminalLeuwipanjang,Cibiru,1.0
TerminalLeuwipanjang,LuarBdg,1.0
TerusanBuahBatu,Bikasoga,1.0
TerusanBuahBatu,Karapitan,1.0
TerusanBuahBatu,MetroIndahMall,1.0
TerusanJakarta,Braga,1.0
TSM,Gedebage,1.0
TSM,Pindad,1.0
TSM,RSHS,1.0
Turangga,BKR,1.0
UjungBerung,Margahayuraya,1.0
Unpad,DagoAtas,1.0
Viaduct,Cibadak,1.0
Viaduct,Cicendo,1.0
Viaduct,Cijerah,1.0
Viaduct,CukangKawung,1.0
Viaduct,LuarBdg,1.0
Viaduct,Malabar,1.0
Viaduct,Naripan,1.0
