pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-01-01 00:00:47,2013-01-01 00:11:02,-73.995285,40.739258,-74.011833,40.707699
2013-01-01 00:00:49,2013-01-01 00:10:44,-74.001671,40.729378,-74.006889,40.705479
2013-01-01 00:00:50,2013-01-01 00:04:56,-73.979378,40.746178,-73.976532,40.73951
2013-01-01 00:00:50,2013-01-01 00:11:42,-73.988571,40.764046,-73.991013,40.760773
2013-01-01 00:00:53,2013-01-01 00:10:14,-73.990135,40.738564,-73.987968,40.719944
2013-01-01 00:00:53,2013-01-01 00:08:02,-73.975189,40.792675,-73.992767,40.768612
2013-01-01 00:00:54,2013-01-01 00:07:56,-73.981392,40.768738,-73.971985,40.763271
2013-01-01 00:00:54,2013-01-01 00:10:36,-73.977699,40.783962,-73.949432,40.786137
2013-01-01 00:00:54,2013-01-01 00:06:46,-73.940376,40.750771,-73.972839,40.764633
2013-01-01 00:00:55,2013-01-01 00:03:21,-73.962646,40.767467,-73.954063,40.776943
2013-01-01 00:00:56,2013-01-01 00:32:12,-73.982956,40.738949,-73.781235,40.71452
2013-01-01 00:00:56,2013-01-01 00:11:59,-73.865967,40.770851,-73.938347,40.76059
2013-01-01 00:01:00,2013-01-01 00:16:00,-74.00708,40.743671,-73.953964,40.811321
2013-01-01 00:01:00,2013-01-01 00:03:00,-73.987373,40.724861,-73.983772,40.730995
2013-01-01 00:01:00,2013-01-01 00:04:00,-73.976753,40.750706,-73.990089,40.750729
2013-01-01 00:01:00,2013-01-01 00:20:08,-73.988937,40.750278,-73.98407,40.777924
2013-01-01 00:01:00,2013-01-01 00:19:00,-73.985291,40.763474,-73.995369,40.754623
2013-01-01 00:01:00,2013-01-01 00:13:00,-73.981277,40.747272,-73.956917,40.780724
2013-01-01 00:01:00,2013-01-01 00:13:00,-73.981438,40.768738,-73.956757,40.766842
2013-01-01 00:01:00,2013-01-01 00:06:00,-73.977867,40.789104,-73.961296,40.806255
2013-01-01 00:01:00,2013-01-01 00:04:00,-73.971138,40.75898,-73.972206,40.752502
2013-01-01 00:01:00,2013-01-01 00:31:00,-73.957573,40.722225,-73.9823,40.768288
2013-01-01 00:01:00,2013-01-01 00:08:00,-73.989853,40.738632,-73.966682,40.753292
2013-01-01 00:01:00,2013-01-01 00:13:00,-73.928864,40.704819,-73.954865,40.73019
2013-01-01 00:01:00,2013-01-01 00:07:00,-73.98774,40.719864,-74.000671,40.728592
2013-01-01 00:01:00,2013-01-01 00:25:00,-73.992271,40.734543,-73.900269,40.822868
2013-01-01 00:01:00,2013-01-01 00:21:00,-73.977486,40.7383,-73.996658,40.762611
2013-01-01 00:01:00,2013-01-01 00:15:00,-73.982132,40.758446,-73.951759,40.790546
2013-01-01 00:01:00,2013-01-01 00:09:00,-73.982651,40.772266,-73.983498,40.783646
2013-01-01 00:01:00,2013-01-01 00:08:00,-73.976227,40.754387,-73.955605,40.776779
2013-01-01 00:01:00,2013-01-01 00:25:00,-73.99157,40.735882,-73.873993,40.827206
2013-01-01 00:01:00,2013-01-01 00:46:00,-73.952904,40.823254,-73.936508,40.657986
2013-01-01 00:01:00,2013-01-01 00:04:00,-73.987762,40.732464,-73.980377,40.742603
2013-01-01 00:01:00,2013-01-01 00:18:00,-73.866348,40.771442,-73.948524,40.744926
2013-01-01 00:01:00,2013-01-01 00:10:00,-73.979721,40.752403,-73.975487,40.758053
2013-01-01 00:01:00,2013-01-01 00:25:00,-73.781883,40.644848,-73.951614,40.784927
2013-01-01 00:01:00,2013-01-01 00:02:00,-73.95208,40.790169,-73.948921,40.794323
2013-01-01 00:01:00,2013-01-01 00:07:00,-73.977806,40.788998,-73.967438,40.806087
2013-01-01 00:01:00,2013-01-01 00:09:00,-73.984154,40.748501,-73.978378,40.753822
2013-01-01 00:01:00,2013-01-01 00:12:00,-73.987167,40.761108,-74.004517,40.751942
2013-01-01 00:01:00,2013-01-01 00:08:00,-73.983185,40.730606,-73.977295,40.75185
2013-01-01 00:01:00,2013-01-01 00:01:00,0,0,0,0
2013-01-01 00:01:00,2013-01-01 00:10:00,-73.989639,40.747089,-73.980141,40.744083
2013-01-01 00:01:00,2013-01-01 00:12:00,-73.98938,40.735069,-74.016777,40.705143
2013-01-01 00:01:00,2013-01-01 00:13:00,-73.987488,40.752037,-73.99173,40.751408
2013-01-01 00:01:00,2013-01-01 00:15:00,-73.973473,40.792583,-73.954903,40.765362
2013-01-01 00:01:00,2013-01-01 00:11:00,-73.964813,40.764027,-73.967896,40.800365
2013-01-01 00:01:00,2013-01-01 00:10:00,-73.997627,40.724186,-73.991631,40.747326
2013-01-01 00:01:00,2013-01-01 00:02:00,-74.003197,40.708313,-74.005608,40.706551
2013-01-01 00:01:00,2013-01-01 00:14:00,-73.924957,40.706707,-73.958282,40.680809
2013-01-01 00:01:00,2013-01-01 00:06:00,-73.959694,40.776882,-73.961655,40.763577
2013-01-01 00:01:00,2013-01-01 00:07:00,-73.980362,40.730495,-73.987846,40.740902
2013-01-01 00:01:00,2013-01-01 00:16:00,-73.988731,40.719482,-73.951035,40.777615
2013-01-01 00:01:00,2013-01-01 00:09:00,-73.982841,40.756817,-73.967934,40.756248
2013-01-01 00:01:00,2013-01-01 00:17:00,-73.999191,40.73251,-73.980873,40.680767
2013-01-01 00:01:00,2013-01-01 00:03:00,-73.973145,40.752827,-73.965897,40.760445
2013-01-01 00:01:00,2013-01-01 00:28:00,-73.975647,40.760738,-74.00399,40.651306
2013-01-01 00:01:00,2013-01-01 00:09:00,-73.991226,40.72765,-73.982788,40.74448
2013-01-01 00:01:00,2013-01-01 00:03:00,-74.004173,40.720947,-74.003838,40.726189
2013-01-01 00:01:00,2013-01-01 00:10:00,-73.975868,40.754681,-73.989822,40.766327
2013-01-01 00:01:00,2013-01-01 00:08:00,-73.977051,40.743141,-73.985184,40.723808
2013-01-01 00:01:00,2013-01-01 00:34:00,-73.994164,40.751385,-73.994164,40.751385
2013-01-01 00:01:00,2013-01-01 00:06:00,-73.95768,40.714569,-73.950653,40.72385
