Source,Target,weight
RayaResort,DagoAtas,1.0
RSHS,BabakanCiparay,1.0
RSHS,RSHS,1.0
RSHS,Setrasari,1.0
RSHS,Supratman,1.0
SadangSerang,Surapati,1.0
Samsat,Jawa,1.0
Sederhana,Cipaganti,1.0
SetiabudiSelatan,Cipagantibawah,1.0
SetiabudiSelatan,SetiabudiUtara,1.0
SetiabudiSelatan,Tubagus,1.0
SetiabudiUtara,Cibadak,1.0
SetiabudiUtara,Ciwalk,1.0
SetiabudiUtara,GatotSubroto,1.0
SetiabudiUtara,LebakSiliwangi,1.0
SetiabudiUtara,SetiabudiSelatan,1.0
Setraduta,Djunjunan,1.0
Setrasari,GunungBatu,1.0
Setrasari,LuarBdg,1.0
Setrasari,Margacinta,1.0
Situsaeur,Cibaduyut,1.0
StasiunKABandung,BKR,1.0
StasiunKABandung,Cimindi,1.0
StasiunKABandung,Cipedes,1.0
StasiunKABandung,DagoAtas,1.0
StasiunKABandung,DagoBawah,1.0
StasiunKABandung,Djunjunan,1.0
StasiunKABandung,Elang,1.0
StasiunKABandung,GatotSubroto,1.0
StasiunKABandung,KebonJati,1.0
StasiunKABandung,Kosambi,1.0
StasiunKABandung,Malabar,1.0
StasiunKABandung,PajajaranWayang,1.0
StasiunKABandung,Pelesiran,1.0
StasiunKABandung,Peta,1.0
StasiunKABandung,Rancabali,1.0
StasiunKABandung,SetiabudiUtara,1.0
StasiunKABandung,StasiunKABandung,1.0
StasiunKABandung,Sukajadi,1.0
StasiunKABandung,Supratman,1.0
StasiunKAKircon,StasiunKAKircon,1.0
Suci,LapangTegaLega,1.0
Suci,Naripan,1.0
Suci,Suci,1.0
Sukajadi,Cipaganti,1.0
Sukajadi,Sederhana,1.0
Sukarasa,Cihampelasbawah,1.0
Sukarasa,LuarBdg,1.0
Sukarasa,RajawaliTimur,1.0
SultanAgung,Cikadut,1.0
SultanAgung,Cipagantibawah,1.0
Sunda,LapangTegaLega,1.0
Surapati,BIP,1.0
Surapati,Cipaganti,1.0
Surapati,DagoBawah,2.0
SuryaSumantri,Djunjunan,1.0
SuryaSumantri,Elang,1.0
SuryaSumantri,PVJ,1.0
SuryaSumantri,RSHS,1.0
Tamansari,BEC,2.0
Tamansari,Leuwipanjang,1.0
Tamansari,LuarBdg,1.0
TerusanJakarta,Samsat,1.0
TerusanJakarta,TSM,1.0
TSM,Laswi,1.0
TSM,Martadinata,1.0
TSM,PVJ,1.0
TSM,RiungBandung,1.0
TSM,Surapati,1.0
TSM,TSM,1.0
Tubagus,DagoAtas,1.0
Unpad,Purwakarta,1.0
Veteran,Tamansari,1.0
Viaduct,SetiabudiUtara,1.0
